"Second","Think_Tokens","Regular_Tokens","Total_Tokens"
"1","16","0","16"
"2","64","0","64"
"3","112","0","112"
"4","3","96","99"
"5","0","84","84"
"6","0","75","75"
"7","0","80","80"
"8","0","114","114"
"9","0","104","104"
"10","0","78","78"
"11","0","95","95"
"12","0","88","88"
"13","0","94","94"
"14","0","89","89"
"15","0","92","92"
"16","0","10","10"
